Service,Service
Object Storage Automation,August,27
Physical Data Center Access,January,256
Physical Data Center Access,February,289
Physical Data Center Access,March,407
Physical Data Center Access,April,270
Physical Data Center Access,May,334
Physical Data Center Access,June,303
Physical Data Center Access,July,287
Physical Data Center Access,August,294
SAN Storage,January,18
SAN Storage,February,30
SAN Storage,March,34
SAN Storage,April,12
SAN Storage,May,14
SAN Storage,June,19
SAN Storage,July,28
SAN Storage,August,27
Server Decommissioning (Legacy),January,5
Server Decommissioning (Legacy),February,1
Server Decommissioning (Legacy),March,2
Special Network Attached Storage (NAS)_V2,January,69
Special Network Attached Storage (NAS)_V2,February,86
Special Network Attached Storage (NAS)_V2,March,121
Special Network Attached Storage (NAS)_V2,April,98
Special Network Attached Storage (NAS)_V2,May,94
Special Network Attached Storage (NAS)_V2,June,103
Special Network Attached Storage (NAS)_V2,July,68
Special Network Attached Storage (NAS)_V2,August,106
Special Storage Area Network (SAN)_V2,January,32
Special Storage Area Network (SAN)_V2,February,37
Special Storage Area Network (SAN)_V2,March,41
Special Storage Area Network (SAN)_V2,April,35
Special Storage Area Network (SAN)_V2,May,23
Special Storage Area Network (SAN)_V2,June,43
Special Storage Area Network (SAN)_V2,August,66
Special Storage Area Network (SAN)_V2,July,29
Tools Onboarding / Offboarding_V2,January,15
Tools Onboarding / Offboarding_V2,February,25
Tools Onboarding / Offboarding_V2,March,21
Tools Onboarding / Offboarding_V2,April,54
Tools Onboarding / Offboarding_V2,May,16
Tools Onboarding / Offboarding_V2,June,12
Tools Onboarding / Offboarding_V2,July,14
Tools Onboarding / Offboarding_V2,August,13
VM Server Capacity Modification,January,75
VM Server Capacity Modification,February,129
VM Server Capacity Modification,March,128
VM Server Capacity Modification,April,112
VM Server Capacity Modification,May,119
VM Server Capacity Modification,June,77
VM Server Capacity Modification,July,88
VM Server Capacity Modification,August,130
month,month
January,749
February,984
March,1157
April,900
May,967
June,912
July,858
August,1009
,a
0,7536
